season,team,date,player_id,player_name,type_code,type_desc,from_team,to_team,description
2025,Glendale Desert Dogs,2025-09-10,815104,Graysen Tarlow,ASG,Assigned,,Glendale Desert Dogs,C Graysen Tarlow assigned to Glendale Desert Dogs.
2025,Glendale Desert Dogs,2025-09-10,805373,Nacho Alvarez Jr.,ASG,Assigned,,Glendale Desert Dogs,SS Nacho Alvarez Jr. assigned to Glendale Desert Dogs.
2025,Glendale Desert Dogs,2025-09-10,688460,Josh Kasevich,ASG,Assigned,,Glendale Desert Dogs,SS Josh Kasevich assigned to Glendale Desert Dogs.
2025,Glendale Desert Dogs,2025-09-10,805347,Jim Jarvis,ASG,Assigned,,Glendale Desert Dogs,SS Jim Jarvis assigned to Glendale Desert Dogs.
2025,Glendale Desert Dogs,2025-09-10,803011,Sam Antonacci,ASG,Assigned,,Glendale Desert Dogs,IF Sam Antonacci assigned to Glendale Desert Dogs.
2025,Glendale Desert Dogs,2025-09-10,698927,Edward Duran,ASG,Assigned,,Glendale Desert Dogs,C Edward Duran assigned to Glendale Desert Dogs.
2025,Glendale Desert Dogs,2025-09-10,807410,Chay Yeager,ASG,Assigned,,Glendale Desert Dogs,RHP Chay Yeager assigned to Glendale Desert Dogs.
2025,Glendale Desert Dogs,2025-09-10,802680,Tyler Bradt,ASG,Assigned,,Glendale Desert Dogs,RHP Tyler Bradt assigned to Glendale Desert Dogs.
2025,Glendale Desert Dogs,2025-09-10,806334,Alex Amalfi,ASG,Assigned,,Glendale Desert Dogs,RHP Alex Amalfi assigned to Glendale Desert Dogs.
2025,Glendale Desert Dogs,2025-09-10,682785,Angel Bastardo,ASG,Assigned,,Glendale Desert Dogs,RHP Angel Bastardo assigned to Glendale Desert Dogs.
2025,Glendale Desert Dogs,2025-09-10,695316,Jarold Rosado,ASG,Assigned,,Glendale Desert Dogs,RHP Jarold Rosado assigned to Glendale Desert Dogs.
2025,Glendale Desert Dogs,2025-09-10,692568,Miguel Ugueto,ASG,Assigned,,Glendale Desert Dogs,RF Miguel Ugueto assigned to Glendale Desert Dogs.
2025,Glendale Desert Dogs,2025-09-10,702488,Logan Wagner,ASG,Assigned,,Glendale Desert Dogs,SS Logan Wagner assigned to Glendale Desert Dogs.
2025,Glendale Desert Dogs,2025-09-10,800543,Josue De Paula,ASG,Assigned,,Glendale Desert Dogs,CF Josue De Paula assigned to Glendale Desert Dogs.
2025,Glendale Desert Dogs,2025-09-10,695731,Braden Montgomery,ASG,Assigned,,Glendale Desert Dogs,OF Braden Montgomery assigned to Glendale Desert Dogs.
2025,Glendale Desert Dogs,2025-09-10,802469,Travis Honeyman,ASG,Assigned,,Glendale Desert Dogs,OF Travis Honeyman assigned to Glendale Desert Dogs.
2025,Glendale Desert Dogs,2025-09-10,806077,Kendall George,ASG,Assigned,,Glendale Desert Dogs,OF Kendall George assigned to Glendale Desert Dogs.
2025,Glendale Desert Dogs,2025-09-10,802117,Patrick Clohisy,ASG,Assigned,,Glendale Desert Dogs,OF Patrick Clohisy assigned to Glendale Desert Dogs.
2025,Glendale Desert Dogs,2025-09-10,814436,Ryan Galanie,ASG,Assigned,,Glendale Desert Dogs,3B Ryan Galanie assigned to Glendale Desert Dogs.
2025,Glendale Desert Dogs,2025-09-10,809915,Jakob Wright,ASG,Assigned,,Glendale Desert Dogs,LHP Jakob Wright assigned to Glendale Desert Dogs.
2025,Glendale Desert Dogs,2025-09-10,820827,Luke Sinnard,ASG,Assigned,,Glendale Desert Dogs,RHP Luke Sinnard assigned to Glendale Desert Dogs.
2025,Glendale Desert Dogs,2025-09-10,692404,Darlin Saladin,ASG,Assigned,,Glendale Desert Dogs,RHP Darlin Saladin assigned to Glendale Desert Dogs.
2025,Glendale Desert Dogs,2025-09-10,696505,Cory Wall,ASG,Assigned,,Glendale Desert Dogs,RHP Cory Wall assigned to Glendale Desert Dogs.
2025,Glendale Desert Dogs,2025-09-10,696146,Hagen Smith,ASG,Assigned,,Glendale Desert Dogs,LHP Hagen Smith assigned to Glendale Desert Dogs.
2025,Glendale Desert Dogs,2025-09-10,815322,Kai Peterson,ASG,Assigned,,Glendale Desert Dogs,LHP Kai Peterson assigned to Glendale Desert Dogs.
