season,team,player_id,full_name,jersey_number,position_code,position_name,position_abbreviation,org_id,org_name,birth_date,age,birth_city,birth_state,birth_country,height,weight,bats,throws,draft_year,mlb_debut_date
2026,Peoria Javelinas,702111,Adam Smith,48,1,Pitcher,P,136,Seattle Mariners,2000-05-09,26,West Chester,PA,USA,"6' 2""",180,Right,Right,2021,
2026,Peoria Javelinas,801932,Alex McCoy,11,O,Outfield,OF,135,San Diego Padres,2002-02-10,24,Baltimore,MD,USA,"6' 5""",260,Right,Right,2024,
2026,Peoria Javelinas,695722,Boston Smith,37,2,Catcher,C,136,Seattle Mariners,2002-11-28,23,Dayton,OH,USA,"5' 10""",195,Left,Right,2025,
2026,Peoria Javelinas,822578,Brandon Butterworth,6,6,Shortstop,SS,110,Baltimore Orioles,2002-08-29,24,Charlotte,NC,USA,"5' 9""",168,Right,Right,2024,
2026,Peoria Javelinas,700251,Brandon Clarke,26,1,Pitcher,P,138,St. Louis Cardinals,2003-04-10,23,Leesburg,VA,USA,"6' 4""",220,Left,Left,2024,
2026,Peoria Javelinas,694806,Brandon Eike,4,5,Third Base,3B,136,Seattle Mariners,2001-10-01,24,Henrico,VA,USA,"6' 0""",220,Right,Right,2024,
2026,Peoria Javelinas,688867,Braxton Bragg,40,1,Pitcher,P,110,Baltimore Orioles,2000-10-28,25,Kansas City,MO,USA,"6' 2""",207,Right,Right,2023,
2026,Peoria Javelinas,801629,Cade McGee,8,5,Third Base,3B,138,St. Louis Cardinals,2003-01-12,23,Tucson,AZ,USA,"6' 1""",195,Right,Right,2024,
2026,Peoria Javelinas,681064,Calvin Schapira,43,1,Pitcher,P,136,Seattle Mariners,1999-10-07,26,Scottsdale,AZ,USA,"6' 5""",225,Right,Left,2024,
2026,Peoria Javelinas,800176,Carlos Sanchez,,6,Shortstop,SS,113,Cincinnati Reds,2005-01-12,21,Santo Domingo,,Dominican Republic,"6' 1""",215,Left,Right,,
2026,Peoria Javelinas,807728,Carter Graham,,3,First Base,1B,113,Cincinnati Reds,2001-09-17,25,Northridge,CA,USA,"6' 1""",228,Right,Right,2023,
2026,Peoria Javelinas,694832,Cody Adcock,,1,Pitcher,P,113,Cincinnati Reds,2002-06-21,24,Texarkana,TX,USA,"6' 4""",205,Right,Right,2023,
2026,Peoria Javelinas,800212,Francis Peña,,1,Pitcher,P,135,San Diego Padres,2001-01-25,25,Piedra Blanca,,Dominican Republic,"6' 1""",170,Right,Right,,
2026,Peoria Javelinas,692284,Frank Elissalt,72,1,Pitcher,P,138,St. Louis Cardinals,2002-03-25,24,Miami,FL,USA,"6' 2""",210,Switch,Right,2024,
2026,Peoria Javelinas,815951,Igor Gil,38,1,Pitcher,P,135,San Diego Padres,2001-03-23,25,Maracay,,Venezuela,"5' 11""",170,Left,Left,,
2026,Peoria Javelinas,702610,Ike Irish,10,O,Outfield,OF,110,Baltimore Orioles,2003-11-26,22,Grand Rapids,MI,USA,"6' 2""",201,Left,Right,2025,
2026,Peoria Javelinas,695481,Jay Allen II,,O,Outfield,OF,113,Cincinnati Reds,2002-11-22,23,Fort Pierce,FL,USA,"6' 0""",200,Right,Right,2021,
2026,Peoria Javelinas,814227,Jordan Valenzuela,54,1,Pitcher,P,135,San Diego Padres,2005-05-20,21,San Juan,,Dominican Republic,"6' 2""",190,Right,Right,,
